,id,city,lat,temp,humidity,cloudiness,windspeed
108,3588476,Tecpan,14.7623,65.52,49,45,5.41
109,3424607,Tasiilaq,65.6145,26.76,97,96,3.33
110,2123814,Leningradskiy,69.3833,-21.24,95,82,11.18
111,2075265,Busselton,-33.65,59.13,89,13,8.28
112,2250982,Kahone,14.15,91.67,21,100,10.85
113,4047434,Russell,32.3502,53.53,40,90,5.75
114,325304,Afşin,38.2477,46.96,80,6,5.01
115,1056899,Sambava,-14.2667,76.87,85,59,8.63
116,3883457,Lebu,-37.6167,57.27,64,5,19.6
117,2068110,Kununurra,-15.7667,76.98,83,5,0.0
118,6147353,Sicamous,50.8331,39.83,100,100,2.37
119,6050194,La Sarre,48.8002,19.58,69,83,1.97
120,1507390,Dikson,73.5069,-15.0,100,100,11.56
121,777019,Vardø,70.3705,15.78,86,40,17.27
122,3452900,Porto Belo,-27.1578,76.95,76,100,6.49
123,3355672,Lüderitz,-26.6481,62.53,81,4,9.98
124,3628473,San Cristobal,7.7669,78.98,48,70,4.68
125,2460954,Araouane,18.9048,75.92,23,3,10.31
126,3396016,Macapá,0.0389,91.38,58,75,12.66
127,750268,Bursa,40.1667,46.44,50,84,7.27
128,2172797,Cairns,-16.9167,76.95,88,75,6.91
129,523392,Naryan-Mar,67.6713,-8.36,100,84,5.3
130,1863495,Gushikawa,26.3544,69.39,68,1,13.8
131,2181625,Te Anau,-45.4167,48.15,71,24,0.58
132,1292037,Thayetmyo,19.3167,69.87,79,8,4.43
133,1642773,Japura,-0.3167,72.88,91,100,2.08
134,1701054,Marawi,7.9986,68.34,92,67,1.92
135,3450188,Santa Isabel,-23.3156,84.61,47,94,3.85
136,1504382,Kargasok,59.0556,26.51,95,100,6.53
137,5536630,Cedar City,37.6775,47.37,34,1,3.44
138,2175819,Biloela,-24.4167,71.58,88,76,7.7
139,5666176,Miles City,46.4083,52.77,46,1,6.91
140,1489656,Teya,60.3778,21.13,84,80,12.62
141,538685,Kurmanayevka,52.5093,28.9,95,100,12.01
142,276781,Beirut,33.8889,68.74,46,100,3.44
143,2742416,Barcelos,41.5388,53.74,91,99,9.55
144,1337612,Dhidhdhoo,6.8833,79.72,81,100,7.25
145,2026861,Berdigestyakh,62.0989,-3.89,98,100,5.3
146,2377457,Nouadhibou,20.931,69.78,64,100,14.97
147,3414079,Olafsvik,64.8945,42.39,96,100,5.99
148,2172880,Byron Bay,-28.65,66.13,88,92,8.72
149,6355222,Yulara,-25.2406,60.64,44,0,4.61
150,2017155,Saskylakh,71.9167,-16.29,99,99,5.08
151,286621,Salalah,17.0151,75.29,78,0,2.3
152,1568574,Qui Nhon,13.7667,75.99,94,100,9.37
153,4362001,Mayo,38.8876,55.98,49,9,4.34
154,1083968,Ambalavao,-21.8333,59.99,88,97,5.61
155,6050066,La Ronge,55.1001,23.25,74,90,12.66
156,53654,Mogadishu,2.0371,81.57,76,59,10.29
157,1504442,Karatuzskoye,53.6072,26.64,71,100,14.85
158,1271940,Farrukhnagar,17.0778,71.31,82,91,7.87
159,1171991,Liliani,32.2065,61.02,32,0,1.88
160,3352593,Tsumeb,-19.2333,71.31,67,77,4.43
161,3833112,Veinticinco de Mayo,-35.4323,60.93,95,100,14.45
162,2409914,Bonthe,7.5264,80.44,79,6,6.76
163,3874787,Punta Arenas,-53.15,50.11,57,75,29.93
164,3447998,Sarandi,-23.4436,92.75,38,20,11.5
165,3929611,San Jerónimo,-11.9472,56.35,67,99,4.74
166,2071860,Esperance,-33.8667,64.24,78,84,13.91
167,108410,Riyadh,24.6877,64.54,31,0,7.92
168,1705441,Lubao,14.9167,78.87,90,74,4.74
169,2127060,Arman',59.7,12.29,95,100,5.88
170,1269723,Ingrāj Bāzār,25.0,65.44,59,22,4.5
171,3385899,Tutóia,-2.7619,87.78,69,94,12.55
172,3126369,Carballo,43.213,53.29,92,98,8.77
173,1337605,Mahibadhoo,3.7833,82.27,73,100,14.12
174,5557293,Sitka,57.0531,31.89,86,75,5.75
175,1043893,Lichinga,-13.3128,69.89,78,0,5.75
176,5983720,Iqaluit,63.7506,24.53,63,90,6.91
177,2022064,Kirovskiy,45.0917,22.39,89,32,5.66
178,1488903,Turukhansk,65.8167,-8.07,100,88,3.65
179,7281807,Seddon,-37.8068,50.09,93,0,5.75
180,3449502,Santo Antônio do Leverger,-15.8656,95.38,62,100,4.85
181,2121373,Seymchan,62.8833,-23.21,94,100,0.69
182,2511180,Santa Cruz de La Palma,28.6835,66.34,72,40,13.8
183,1805935,Jiazi,22.8779,65.68,86,49,8.77
184,2656046,Bedford,52.1346,33.28,88,99,7.61
185,2221513,Tignère,7.3667,70.97,27,89,2.57
186,1259784,Phek,25.6667,40.37,96,15,1.74
187,2259383,Nkayi,-4.1841,75.24,89,99,2.8
188,1621313,Ambulu,-8.345,73.29,93,100,3.36
189,1852357,Shimoda,34.6667,50.02,59,63,5.17
190,5478673,Meadow Lake,34.8014,51.64,22,0,5.53
191,3374333,Praia,14.9215,75.74,69,75,25.32
192,2527087,Tiznit Province,29.5833,57.04,48,0,3.24
193,4020109,Atuona,-9.8,78.22,74,1,19.15
194,779683,Hammerfest,70.6634,9.05,72,0,12.66
195,5850511,Makaha,21.4694,75.11,83,75,0.0
196,1795632,Shenjiamen,29.9576,62.42,84,100,8.25
197,506763,Polyarny,69.1989,6.96,89,14,11.77
198,2729907,Longyearbyen,78.2186,8.44,61,75,26.46
199,1632694,Pangkalanbuun,-2.6833,70.83,98,100,2.24
200,964420,Port Elizabeth,-33.918,66.49,72,0,25.32
201,1045114,Inhambane,-23.865,72.01,66,0,11.45
202,1052944,Angoche,-16.2325,76.23,66,0,10.42
203,2037485,Erenhot,43.6475,23.72,71,100,5.73
204,1071296,Antalaha,-14.9003,75.0,88,70,6.87
205,779330,Kautokeino,69.0125,-9.83,100,100,7.23
206,2191562,Dunedin,-45.8742,55.22,65,56,3.67
207,3024035,Concarneau,47.875,40.39,87,99,4.72
208,1524606,Derzhavīnsk,51.1,11.3,77,100,7.34
209,3449747,Santa Vitória do Palmar,-33.5189,66.83,97,100,3.09
210,518619,Novaya Malykla,54.2,32.99,95,100,9.53
211,1269507,Jaisalmer,26.9147,69.46,27,0,9.44
212,7117100,Vila,42.0304,43.68,98,100,5.66
213,2059470,Victor Harbor,-35.5667,51.89,74,0,1.7
214,3520271,Ciudad Río Bravo,25.9833,67.78,52,40,13.8
215,6201424,Mataura,-46.1927,47.88,72,100,1.79
216,4031574,Provideniya,64.3833,-5.24,76,9,5.35
217,2132606,Samarai,-10.6167,81.66,80,100,6.44
218,5919850,Chapais,49.7834,15.58,83,100,8.08
219,4031742,Egvekinot,66.3167,-7.29,97,100,1.12
220,524901,Moscow,55.7522,36.0,94,100,4.43
221,6185377,Yellowknife,62.456,16.32,92,90,14.97
222,485660,Tsimmerbude,54.675,35.65,92,100,6.91
223,2038421,Bayan,46.0833,22.48,94,100,10.83
224,1267390,Kavaratti,10.5669,80.94,78,100,9.01
225,2446796,Bilma,18.6853,78.04,15,100,7.47
226,153772,Misasi,-3.0,71.92,76,100,6.35
227,3579925,St. George's,12.0564,85.68,74,20,17.27
228,5017822,Bemidji,47.4736,30.52,55,1,5.75
229,2090990,Mendi,-6.1761,55.51,97,100,1.77
230,1623251,Trenggalek,-8.05,74.91,89,100,1.45
231,1640902,Kawalu,-7.3817,70.77,95,35,0.72
232,5563397,Eureka,40.8021,52.41,82,79,4.7
233,910361,Limulunga,-15.0969,75.76,56,94,2.55
234,2167426,Emerald,-23.5333,73.54,100,90,6.91
235,3466980,Caravelas,-17.7125,80.73,76,13,12.17
236,2206939,Bluff,-46.6,53.19,73,65,18.03
237,3980180,Frontera,26.9333,65.95,59,40,0.0
238,5859699,College,64.8569,-26.72,71,75,0.0
239,4726521,San Patricio,28.017,59.83,62,100,9.46
240,3347719,Luena,-11.7833,62.73,96,100,3.36
241,1726832,Barahan,13.0121,79.25,74,100,3.83
242,3723593,Jérémie,18.65,81.05,72,36,6.64
243,1106643,Quatre Cocos,-20.2078,75.31,72,4,5.17
244,3393536,Olinda,-8.0089,83.93,70,40,10.36
245,1254133,Tuensang,26.2833,52.59,80,3,3.69
246,2014624,Udachny,66.4167,-22.41,97,96,2.82
247,6111862,Port Hardy,50.6996,50.18,93,75,2.3
248,3389822,Salinópolis,-0.6136,83.75,71,26,10.98
249,1819729,Hong Kong,22.2855,69.71,71,86,6.91
250,6167817,Torbay,47.6666,47.17,66,75,17.27
251,3871336,Santiago,-33.4569,85.44,18,0,5.75
252,2013986,Ust'-Barguzin,53.45,14.56,94,100,4.18
253,4500994,Burlington,39.8835,48.81,50,75,4.61
254,3985710,Cabo San Lucas,22.8909,79.11,65,90,3.44
255,3428068,San Vicente,-26.6167,68.65,90,100,2.15
256,4997191,Ionia,42.9873,35.82,64,90,16.11
257,5880054,Barrow,71.2906,-11.18,70,90,10.36
258,687526,Zavallya,48.2135,47.7,97,100,8.79
259,4021858,Guerrero Negro,27.9769,76.24,36,0,5.06
260,1814435,Dafeng,23.4517,58.77,67,1,3.74
261,3448221,São Sebastião do Paraíso,-20.9169,80.6,50,0,10.02
262,6690296,Saint-Joseph,-21.3667,75.58,85,34,2.68
263,3081752,Władysławowo,54.7909,35.15,83,100,5.53
264,2125693,Evensk,61.95,15.35,95,100,3.67
265,5905393,Bonavista,48.6499,41.0,77,7,21.9
266,3418910,Upernavik,72.7868,-8.57,76,0,10.2
267,5000950,Marquette,46.5333,29.64,78,90,12.24
268,191038,Kitui,-1.367,65.12,80,98,1.36
269,1801983,Luocheng,29.3848,53.26,85,100,2.77
270,5380437,Pacific Grove,36.6177,70.5,37,1,4.61
271,5991056,Kenora,49.8167,24.04,74,75,3.44
272,4513583,Hamilton,39.1834,44.6,42,1,14.97
